Year,Month,Day,Hour,Actual,Predict
18,3,29,15,1235.16,1235.4263238280305
18,3,29,16,1259.64,1259.5672603478927
18,3,29,17,1259.64,1259.5621887606778
18,3,29,18,1245.96,1245.6316458650122
18,3,29,19,1190.52,1190.5223501037267
18,3,29,20,1294.2,1294.1254067400323
18,3,29,21,1208.16,1208.006251679031
18,3,29,22,1207.08,1207.5437505523764
18,3,29,23,1109.52,1109.378937929851
18,3,30,0,1065.6,1065.7392732876776
18,3,30,1,1068.84,1068.644955622441
18,3,30,2,1021.68,1021.7456061306403
18,3,30,3,950.4,950.4022130705201
18,3,30,4,930.96,931.0217223627802
18,3,30,5,875.16,875.1645390194346
18,3,30,6,959.76,959.7866513069108
18,3,30,7,1014.12,1014.2726885862892
18,3,30,8,1144.8,1144.8060862891205
18,3,30,9,1331.28,1331.4711196863125
18,3,30,10,1360.08,1360.1475421336686
18,3,30,11,1432.08,1432.1282983669532
18,3,30,12,1397.16,1397.1033975176904
18,3,30,13,1289.52,1289.5198909119727
18,3,30,14,1262.88,1262.8942401978832
18,3,30,15,1233.0,1233.0041123250237
18,3,30,16,1219.32,1219.3197241357502
18,3,30,17,1248.12,1248.186895710909
18,3,30,18,1199.52,1199.442285431582
18,3,30,19,1186.92,1187.1674320016018
18,3,30,20,1220.04,1220.4382283885004
18,3,30,21,1257.12,1257.6521216319002
18,3,30,22,1205.64,1205.7398614224921
18,3,30,23,1081.8,1081.8497670178592
18,3,31,0,1019.52,1019.2072252504735
18,3,31,1,1041.48,1041.5780880051782
18,3,31,2,991.08,991.0839487026509
18,3,31,3,936.36,936.3592490444785
18,3,31,4,947.52,947.824859666047
18,3,31,5,865.44,865.2918065005582
18,3,31,6,903.96,903.9648961226646
18,3,31,7,981.72,981.7426458157839
18,3,31,8,1047.6,1047.61615533305
18,3,31,9,1149.84,1150.0804622247529
18,3,31,10,1121.76,1121.7207069859285
18,3,31,11,1162.8,1163.1628753250718
18,3,31,12,1114.2,1114.302522439097
18,3,31,13,1148.4,1148.4624449760126
18,3,31,14,1096.56,1096.7210965542777
18,3,31,15,1028.16,1028.0436496173788
18,3,31,16,996.12,996.4803462758302
18,3,31,17,1015.56,1015.6649287250976
18,3,31,18,1005.48,1005.490215658084
18,3,31,19,1027.44,1027.5297051444131
18,3,31,20,1069.56,1069.4192076595439
18,3,31,21,1105.2,1105.0784050542973
18,3,31,22,1072.08,1072.1142344623167
18,3,31,23,1015.2,1015.1475850195638
18,4,1,0,1022.4,1022.817654483479
18,4,1,1,1028.16,1028.0322031107348
18,4,1,2,984.6,984.6124663867064
18,4,1,3,892.44,892.5767922798962
18,4,1,4,938.88,939.0666311810113
18,4,1,5,856.08,856.5328742192758
18,4,1,6,852.12,852.1373050299541
18,4,1,7,880.92,880.9465151968204
18,4,1,8,894.24,894.7303315018931
18,4,1,9,944.64,944.5926909740692
18,4,1,10,951.84,951.8636565990677
18,4,1,11,1000.8,1001.2526867388576
18,4,1,12,1010.16,1010.2669531213305
18,4,1,13,977.76,977.2829307706353
18,4,1,14,1022.76,1022.8171091806425
18,4,1,15,990.72,990.7240454344729
18,4,1,16,1010.52,1010.4484352144249
18,4,1,17,1011.6,1011.5865309972764
18,4,1,18,1025.28,1025.2881447250832
18,4,1,19,1060.56,1060.5211113929015
18,4,1,20,1122.84,1122.4910170934295
18,4,1,21,1094.04,1093.99715643506
18,4,1,22,1119.6,1119.792183326549
18,4,1,23,1102.32,1102.5990526166552
18,4,2,0,1095.12,1095.0793435649323
18,4,2,1,1083.24,1083.1354459088411
18,4,2,2,1028.16,1028.032030558658
18,4,2,3,942.12,942.1059230833606
18,4,2,4,871.92,872.0035751189581
18,4,2,5,871.2,871.1838231778057
18,4,2,6,905.76,905.7510983742746
18,4,2,7,984.6,984.618096185544
18,4,2,8,1106.28,1106.7057821531448
18,4,2,9,1305.72,1305.763839221372
18,4,2,10,1371.96,1371.9524279698696
18,4,2,11,1399.32,1398.9815298923932
18,4,2,12,1380.6,1380.5322292240655
18,4,2,13,1328.4,1328.5122226218737
18,4,2,14,1306.08,1306.2232165805844
18,4,2,15,1288.44,1289.1248950029876
18,4,2,16,1299.24,1299.1749856639613
18,4,2,17,1322.28,1322.718412303029
18,4,2,18,1284.84,1284.6994031177971
18,4,2,19,1253.88,1254.035720342393
18,4,2,20,1296.0,1295.9576466835692
18,4,2,21,1367.28,1367.4408316498134
18,4,2,22,1350.72,1350.9629081776534
18,4,2,23,1136.52,1136.2158967297828
18,4,3,0,1109.16,1109.1666673187003
18,4,3,1,1073.88,1073.8755560154873
18,4,3,2,1014.12,1014.2667402508846
18,4,3,3,934.56,934.5586746924513
18,4,3,4,897.48,897.2720620156471
18,4,3,5,876.96,876.9639753850795
18,4,3,6,932.76,932.8619966800588
18,4,3,7,1019.52,1019.1957366741336
18,4,3,8,1128.24,1128.4063203312267
18,4,3,9,1315.8,1316.0613262801762
18,4,3,10,1372.68,1372.6309902760268
18,4,3,11,1432.08,1432.124750504565
18,4,3,12,1409.76,1409.534071744285
18,4,3,13,1378.44,1378.1626894008944
18,4,3,14,1386.0,1386.2736846904697
18,4,3,15,1343.16,1342.7875014492543
18,4,3,16,1377.0,1376.9679492597395
18,4,3,17,1351.08,1351.0648867241443
18,4,3,18,1300.32,1300.2570424253202
18,4,3,19,1254.24,1254.0373601494946
18,4,3,20,1360.08,1360.1417848089961
18,4,3,21,1334.52,1334.515913998675
18,4,3,22,1325.88,1325.8669648209577
18,4,3,23,1164.96,1164.5873660090729
18,4,4,0,1189.44,1189.2304543590744
18,4,4,1,1094.04,1094.0063114351324
18,4,4,2,1056.24,1055.8790022189708
18,4,4,3,990.36,990.6682388097096
