Year,Month,Day,Hour,Actual,Predict
18,1,15,17,996.12,995.9211
18,1,15,18,1287.36,1286.8878
18,1,15,19,1237.32,1237.1926
18,1,15,20,1231.2,1231.741
18,1,15,21,1242.72,1241.6218
18,1,15,22,1165.32,1165.565
18,1,15,23,1144.44,1144.3048
18,1,16,0,1092.6,1092.2767
18,1,16,1,1089.36,1089.3806
18,1,16,2,1043.28,1043.2189
18,1,16,3,1031.4,1031.2908
18,1,16,4,936.72,936.4723
18,1,16,5,926.28,926.55255
18,1,16,6,942.84,942.14874
18,1,16,7,1100.16,1100.5144
18,1,16,8,1271.88,1271.3198
18,1,16,9,1479.24,1478.7571
18,1,16,10,1542.24,1540.9812
18,1,16,11,1622.88,1623.012
18,1,16,12,1673.64,1673.8099
18,1,16,13,1578.6,1579.925
18,1,16,14,1605.6,1605.6396
18,1,16,15,1610.64,1610.8793
18,1,16,16,1566.36,1566.1738
18,1,16,17,1569.24,1569.5248
18,1,16,18,1590.12,1588.8494
18,1,16,19,1426.68,1427.4031
18,1,16,20,1406.16,1405.316
18,1,16,21,1343.52,1343.6396
18,1,16,22,1345.32,1346.4042
18,1,16,23,1164.96,1164.707
18,1,17,0,1165.32,1165.7614
18,1,17,1,1082.16,1082.0997
18,1,17,2,1063.8,1063.866
18,1,17,3,981.36,981.8479
18,1,17,4,999.0,998.9428
18,1,17,5,883.08,883.9873
18,1,17,6,996.12,996.0594
18,1,17,7,1151.28,1151.2754
18,1,17,8,1244.16,1243.9918
18,1,17,9,1476.0,1475.3922
18,1,17,10,1433.52,1433.3232
18,1,17,11,1534.32,1533.7756
18,1,17,12,1549.08,1548.943
18,1,17,13,1597.68,1597.6655
18,1,17,14,1519.56,1520.7052
18,1,17,15,1457.28,1456.4802
18,1,17,16,1515.6,1516.418
18,1,17,17,1502.28,1502.3795
18,1,17,18,1528.2,1528.2191
18,1,17,19,1361.88,1361.3182
18,1,17,20,1371.96,1372.972
18,1,17,21,1283.4,1283.3601
18,1,17,22,1311.48,1311.2133
18,1,17,23,1090.8,1090.8866
18,1,18,0,1176.84,1177.4584
18,1,18,1,1135.08,1134.2728
18,1,18,2,1063.08,1062.8846
18,1,18,3,974.88,974.92224
18,1,18,4,964.44,964.9638
18,1,18,5,893.16,893.73114
18,1,18,6,1058.76,1059.2767
18,1,18,7,1149.48,1150.4463
18,1,18,8,1252.44,1252.4841
18,1,18,9,1480.68,1480.3832
18,1,18,10,1509.84,1510.8394
18,1,18,11,1626.12,1627.2223
18,1,18,12,1611.36,1611.4341
18,1,18,13,1537.2,1538.1847
18,1,18,14,1519.56,1520.5889
18,1,18,15,1609.92,1609.8754
18,1,18,16,1562.04,1561.5029
18,1,18,17,1554.48,1553.0144
18,1,18,18,1507.68,1507.4083
18,1,18,19,1378.44,1378.8396
18,1,18,20,1366.56,1367.6093
18,1,18,21,1294.92,1295.2607
18,1,18,22,1286.64,1286.8887
18,1,18,23,1202.04,1201.5382
18,1,19,0,1212.48,1212.6982
18,1,19,1,1208.52,1208.5442
18,1,19,2,1155.24,1154.9318
18,1,19,3,1076.76,1076.7129
18,1,19,4,1094.4,1094.2885
18,1,19,5,978.12,978.4849
18,1,19,6,1100.52,1100.4406
18,1,19,7,1203.84,1203.6749
18,1,19,8,1373.76,1373.6688
18,1,19,9,1456.92,1456.73
18,1,19,10,1566.36,1566.4728
18,1,19,11,1644.84,1645.3534
18,1,19,12,1606.68,1607.6376
18,1,19,13,1479.96,1479.9576
18,1,19,14,1482.12,1483.2615
18,1,19,15,1456.56,1456.4407
18,1,19,16,1469.52,1469.1096
18,1,19,17,1472.4,1472.4575
18,1,19,18,1409.04,1408.6565
18,1,19,19,1361.52,1361.2202
18,1,19,20,1258.2,1258.041
18,1,19,21,1201.32,1201.2784
18,1,19,22,1247.4,1246.8589
18,1,19,23,1062.72,1062.7703
18,1,20,0,1026.36,1026.4171
18,1,20,1,1025.64,1025.6552
18,1,20,2,977.04,977.19714
18,1,20,3,1055.52,1055.9697
18,1,20,4,968.4,968.3081
18,1,20,5,912.6,912.23755
18,1,20,6,1022.4,1022.5954
18,1,20,7,1146.24,1146.2323
18,1,20,8,1137.96,1138.322
18,1,20,9,1269.0,1268.3955
18,1,20,10,1224.36,1224.8167
18,1,20,11,1212.12,1211.5458
18,1,20,12,1206.36,1206.3856
18,1,20,13,1209.6,1209.2733
18,1,20,14,1086.12,1086.3927
18,1,20,15,1025.28,1025.4441
18,1,20,16,1017.72,1018.2498
18,1,20,17,1018.08,1018.1476
18,1,20,18,1079.28,1080.0896
18,1,20,19,1191.6,1191.7249
18,1,20,20,1108.08,1108.3533
18,1,20,21,1060.56,1060.7762
18,1,20,22,1020.6,1020.6297
18,1,20,23,1060.56,1060.7104
18,1,21,0,1051.2,1050.2634
18,1,21,1,1027.8,1027.3046
18,1,21,2,1055.88,1056.1101
18,1,21,3,980.64,981.45355
18,1,21,4,964.8,965.00653
18,1,21,5,942.12,942.04315
18,1,21,6,981.72,981.7065
18,1,21,7,996.12,995.86694
18,1,21,8,1039.68,1039.4269
18,1,21,9,1031.04,1030.687
18,1,21,10,1060.92,1060.8187
18,1,21,11,1076.76,1076.9047
18,1,21,12,1046.88,1047.1641
18,1,21,13,987.48,987.2673
18,1,21,14,1025.64,1025.5848
18,1,21,15,1003.68,1003.71027
18,1,21,16,1067.4,1066.9829
18,1,21,17,1038.24,1038.7555
18,1,21,18,1008.36,1007.9123
18,1,21,19,1148.76,1148.2887
18,1,21,20,1094.04,1093.8422
18,1,21,21,1087.92,1088.6047
18,1,21,22,1135.08,1134.2504
18,1,21,23,1085.04,1084.7682
18,1,22,0,1053.36,1053.4923
18,1,22,1,1100.52,1100.49
18,1,22,2,1044.72,1045.4894
18,1,22,3,1005.84,1005.7355
18,1,22,4,984.6,984.14825
18,1,22,5,1001.88,1002.06555
18,1,22,6,1021.32,1020.99896
18,1,22,7,1205.28,1205.1831
18,1,22,8,1275.12,1275.4567
18,1,22,9,1449.72,1451.754
18,1,22,10,1507.68,1507.4901
18,1,22,11,1710.0,1708.9858
18,1,22,12,1607.76,1607.3196
18,1,22,13,1583.28,1582.0499
18,1,22,14,1607.4,1607.5216
18,1,22,15,1573.2,1574.1345
18,1,22,16,1635.12,1636.1862
18,1,22,17,1627.92,1627.9736
18,1,22,18,1561.68,1561.1173
18,1,22,19,1489.32,1490.8126
18,1,22,20,1359.72,1359.8744
18,1,22,21,1392.48,1392.813
18,1,22,22,1299.6,1299.94
