Year,Month,Day,Hour,Actual,Predict
18,3,18,2,970.56,970.6021874999984
18,3,18,3,896.04,896.0315624999976
18,3,18,4,906.84,906.8821874999978
18,3,18,5,877.32,877.3509375000024
18,3,18,6,861.12,861.1284374999989
18,3,18,7,856.08,856.0378125000013
18,3,18,8,904.68,904.6603124999978
18,3,18,9,959.04,958.9865624999974
18,3,18,10,902.16,902.0334375000018
18,3,18,11,1032.84,1032.8399999999974
18,3,18,12,976.68,976.6743749999969
18,3,18,13,999.0,999.005625
18,3,18,14,1049.4,1049.3999999999976
18,3,18,15,1050.84,1050.8315624999977
18,3,18,16,1053.72,1053.7143750000007
18,3,18,17,1030.68,1030.668749999997
18,3,18,18,1038.6,1038.5662500000024
18,3,18,19,1034.28,1034.2828124999992
18,3,18,20,1167.48,1167.4434374999996
18,3,18,21,1157.04,1157.0512499999982
18,3,18,22,1223.64,1223.640000000002
18,3,18,23,1062.0,1061.9803125
18,3,19,0,1172.16,1172.1262500000023
18,3,19,1,1120.68,1120.6884374999972
18,3,19,2,1064.16,1064.1515625000025
18,3,19,3,974.88,974.8828125000016
18,3,19,4,862.92,862.9340624999986
18,3,19,5,876.6,876.5943750000018
18,3,19,6,958.32,958.3171875000031
18,3,19,7,1076.76,1076.7684374999983
18,3,19,8,1152.0,1152.0112499999996
18,3,19,9,1455.84,1455.7781249999996
18,3,19,10,1499.4,1499.3746874999977
18,3,19,11,1535.4,1535.4703124999994
18,3,19,12,1519.2,1519.1437499999988
18,3,19,13,1465.92,1465.813124999999
18,3,19,14,1518.84,1518.7331249999988
18,3,19,15,1453.68,1453.7249999999967
18,3,19,16,1505.88,1505.9221875000023
18,3,19,17,1478.88,1478.826562500002
18,3,19,18,1468.44,1468.4062500000002
18,3,19,19,1409.4,1409.3915624999993
18,3,19,20,1340.28,1340.277187500001
18,3,19,21,1345.32,1345.2918750000028
18,3,19,22,1256.04,1256.0259374999987
18,3,19,23,1202.04,1202.0399999999986
18,3,20,0,1172.52,1172.50875
18,3,20,1,1123.2,1123.2028124999993
18,3,20,2,1074.96,1074.9543750000023
18,3,20,3,1020.24,1020.2400000000023
18,3,20,4,891.72,891.5938281250008
18,3,20,5,899.28,899.2799999999991
18,3,20,6,950.04,950.0456249999975
18,3,20,7,1074.24,1074.245625000002
18,3,20,8,1154.88,1154.880000000002
